2026-07-13T13:26:29Z | flat | pre-market brief: breaker clear, mode=live | PROBLEM: RobinHood connector enabledInChat=false on scheduled wake-up — no broker access
2026-07-15T13:26:14Z | flat | pre-market brief Jul 15: breaker clear, mode=live | PROBLEM: RobinHood connector installState=unknown (same transient pattern as Jul 14), enabledInChat still false
2026-07-15T14:35:10Z | flat | scheduled scan cycle: no broker access (RobinHood connected but enabledInChat=false, unchanged from pre-market) | breaker clear, mode=live
2026-07-15T15:35:19Z | flat | scheduled scan cycle: no broker access (RobinHood connected but enabledInChat=false, unchanged) | breaker clear, mode=live
2026-07-15T16:35:20Z | flat | scheduled scan cycle: no broker access (RobinHood connected but enabledInChat=false, unchanged) | breaker clear, mode=live
2026-07-15T17:35:29Z | flat | scheduled scan cycle: no broker access (RobinHood connected but enabledInChat=false, unchanged) | breaker clear, mode=live
2026-07-15T18:35:41Z | flat | scheduled scan cycle: no broker access (RobinHood connected but enabledInChat=false, unchanged) | breaker clear, mode=live
2026-07-15T19:35:37Z | flat | scheduled scan cycle: no broker access (RobinHood connected but enabledInChat=false, unchanged) | breaker clear, mode=live
2026-07-16T13:26:33Z | flat | pre-market brief Jul 16: breaker clear, mode=live | RobinHood installState=unknown (known recurring morning pattern, not new — resolves to connected later each day)
2026-07-16T14:38:16Z | flat | scheduled scan cycle: no broker access (RobinHood connected but enabledInChat=false, unchanged) | breaker clear, mode=live
2026-07-16T15:35:07Z | flat | scheduled scan cycle: no broker access (RobinHood connected but enabledInChat=false, unchanged) | breaker clear, mode=live
2026-07-16T16:35:07Z | flat | scheduled scan cycle: no broker access (RobinHood connected but enabledInChat=false, unchanged) | breaker clear, mode=live
2026-07-16T17:34:58Z | flat | scheduled scan cycle: no broker access (RobinHood connected but enabledInChat=false, unchanged) | breaker clear, mode=live
2026-07-16T18:35:00Z | flat | scheduled scan cycle: no broker access (RobinHood connected but enabledInChat=false, unchanged) | breaker clear, mode=live
2026-07-16T19:34:59Z | flat | scheduled scan cycle: no broker access (RobinHood connected but enabledInChat=false, unchanged) | breaker clear, mode=live
2026-07-17T13:25:33Z | flat | pre-market brief: no broker access (RobinHood connected but enabledInChat=false, unchanged) | breaker clear, mode=live
2026-07-17T14:34:48Z | flat | scheduled scan cycle: no broker access (RobinHood connected but enabledInChat=false, unchanged) | breaker clear, mode=live
2026-07-17T15:34:33Z | flat | scheduled scan cycle: no broker access (RobinHood connected but enabledInChat=false, unchanged) | breaker clear, mode=live
2026-07-17T16:34:50Z | flat | scheduled scan cycle: no broker access (RobinHood connected but enabledInChat=false, unchanged) | breaker clear, mode=live
2026-07-17T17:34:31Z | flat | scheduled scan cycle: no broker access (RobinHood connected but enabledInChat=false, unchanged) | breaker clear, mode=live
2026-07-17T18:34:52Z | flat | scheduled scan cycle: no broker access (RobinHood connected but enabledInChat=false, unchanged) | breaker clear, mode=live
2026-07-17T19:35:05Z | flat | scheduled scan cycle: no broker access (RobinHood connected but enabledInChat=false, unchanged) | breaker clear, mode=live
2026-07-20T13:26:15Z | flat | pre-market brief: no broker access (RobinHood installState=unknown this morning, enabledInChat=false — typical morning transient, not a new problem) | breaker clear, mode=live
2026-07-20T14:35:00Z | flat | scheduled scan cycle: no broker access (RobinHood installState=unknown, enabledInChat=false, unchanged from pre-market brief) | breaker clear, mode=live
2026-07-20T15:35:07Z | flat | scheduled scan cycle: no broker access (RobinHood installState=unknown, enabledInChat=false, unchanged) | breaker clear, mode=live
2026-07-20T16:35:07Z | flat | scheduled scan cycle: no broker access (RobinHood installState=unknown, enabledInChat=false, unchanged) | breaker clear, mode=live
2026-07-20T17:34:50Z | flat | scheduled scan cycle: no broker access (RobinHood installState=unknown, enabledInChat=false, unchanged) | breaker clear, mode=live
2026-07-20T18:35:08Z | flat | scheduled scan cycle: no broker access (RobinHood installState=unknown, enabledInChat=false, unchanged) | breaker clear, mode=live
2026-07-20T19:34:58Z | flat | scheduled scan cycle: no broker access (RobinHood installState=unknown, enabledInChat=false, unchanged) | breaker clear, mode=live
2026-07-21T13:26:25Z | flat | pre-market brief: no broker access — RobinHood installState=unknown has now persisted continuously since 2026-07-20T13:26 (24h+, spanned all of Jul 20 without resolving) — notifying owner, this differs from prior self-resolving morning blips | breaker clear, mode=live
2026-07-21T14:34:51Z | flat | scheduled scan cycle: no broker access (RobinHood installState back to connected, enabledInChat still false — the unknown state from Jul 20-21 has cleared) | breaker clear, mode=live
2026-07-21T15:35:02Z | flat | scheduled scan cycle: no broker access (RobinHood connected but enabledInChat=false, unchanged) | breaker clear, mode=live
2026-07-21T16:34:52Z | flat | scheduled scan cycle: no broker access (RobinHood connected but enabledInChat=false, unchanged) | breaker clear, mode=live
2026-07-21T18:35:21Z | flat | scheduled scan cycle: no broker access (RobinHood connected but enabledInChat=false, unchanged) | breaker clear, mode=live
2026-07-21T19:34:41Z | flat | scheduled scan cycle: no broker access (RobinHood connected but enabledInChat=false, unchanged) | breaker clear, mode=live
2026-07-22T13:26:27Z | flat | pre-market brief: no broker access (RobinHood installState=unknown this morning, enabledInChat=false — recurring morning transient, not new) | breaker clear, mode=live
2026-07-22T14:34:51Z | flat | scheduled scan cycle: no broker access (RobinHood connected but enabledInChat=false) | breaker clear, mode=live
2026-07-22T15:34:38Z | flat | scheduled scan cycle: no broker access (RobinHood connected but enabledInChat=false, unchanged) | breaker clear, mode=live
2026-07-22T16:35:06Z | flat | scheduled scan cycle: no broker access (RobinHood connected but enabledInChat=false, unchanged) | breaker clear, mode=live
